srclang,trglang,srcIndex,documentId,segmentId,judgeId,system1Number,system1Id,system2Number,system2Id,rank
English,French,19,en-fr.test,19,AQNOTFW1HV5JG,36,66,51,9,2
English,French,20,en-fr.test,20,AQNOTFW1HV5JG,13,26,34,64,2
English,French,21,en-fr.test,21,AQNOTFW1HV5JG,50,8,40,7,1
English,French,16,en-fr.test,16,A2SLT3VADFP09C,51,9,5,17,1
English,French,17,en-fr.test,17,A2SLT3VADFP09C,8,20,34,64,2
English,French,18,en-fr.test,18,A2SLT3VADFP09C,8,20,41,70,2
English,French,10,en-fr.test,10,A2R20SOIBO289V,34,64,40,7,1
English,French,11,en-fr.test,11,A2R20SOIBO289V,51,9,35,65,11
English,French,12,en-fr.test,12,A2R20SOIBO289V,39,69,41,70,11
English,French,25,en-fr.test,25,A2R20SOIBO289V,38,68,51,9,1
English,French,26,en-fr.test,26,A2R20SOIBO289V,36,66,7,19,2
English,French,27,en-fr.test,27,A2R20SOIBO289V,40,7,5,17,2
English,French,25,en-fr.test,25,A2ALWSGDVHR88Y,35,65,50,8,11
English,French,26,en-fr.test,26,A2ALWSGDVHR88Y,33,62,41,70,2
English,French,27,en-fr.test,27,A2ALWSGDVHR88Y,34,64,50,8,11
English,French,7,en-fr.test,7,A2ALWSGDVHR88Y,9,21,36,66,1
English,French,8,en-fr.test,8,A2ALWSGDVHR88Y,34,64,51,9,2
English,French,9,en-fr.test,9,A2ALWSGDVHR88Y,33,62,34,64,1
English,French,25,en-fr.test,25,A2ALWSGDVHR88Y,51,9,5,17,1
English,French,26,en-fr.test,26,A2ALWSGDVHR88Y,13,26,33,62,11
English,French,27,en-fr.test,27,A2ALWSGDVHR88Y,19,41,5,17,2
English,French,25,en-fr.test,25,AQNOTFW1HV5JG,9,21,36,66,1
English,French,26,en-fr.test,26,AQNOTFW1HV5JG,51,9,37,67,1
English,French,27,en-fr.test,27,AQNOTFW1HV5JG,50,8,41,70,1
English,French,13,en-fr.test,13,AK7YVYGMIF6T0,35,65,39,69,2
English,French,14,en-fr.test,14,AK7YVYGMIF6T0,35,65,13,26,1
English,French,15,en-fr.test,15,AK7YVYGMIF6T0,50,8,37,67,1
English,French,19,en-fr.test,19,AK7YVYGMIF6T0,35,65,38,68,1
English,French,20,en-fr.test,20,AK7YVYGMIF6T0,5,17,41,70,2
English,French,21,en-fr.test,21,AK7YVYGMIF6T0,13,26,38,68,11
English,French,16,en-fr.test,16,A3VS73NCMIPDLI,41,70,34,64,1
English,French,17,en-fr.test,17,A3VS73NCMIPDLI,33,62,35,65,2
English,French,18,en-fr.test,18,A3VS73NCMIPDLI,36,66,39,69,1
English,French,25,en-fr.test,25,AQNOTFW1HV5JG,51,9,37,67,2
English,French,26,en-fr.test,26,AQNOTFW1HV5JG,38,68,35,65,2
English,French,27,en-fr.test,27,AQNOTFW1HV5JG,38,68,36,66,2
English,French,10,en-fr.test,10,A2R20SOIBO289V,9,21,36,66,1
English,French,11,en-fr.test,11,A2R20SOIBO289V,8,20,41,70,2
English,French,12,en-fr.test,12,A2R20SOIBO289V,39,69,50,8,2
English,French,4,en-fr.test,4,A10DDXKFJGT66R,5,17,7,19,2
English,French,5,en-fr.test,5,A10DDXKFJGT66R,51,9,5,17,1
English,French,6,en-fr.test,6,A10DDXKFJGT66R,13,26,51,9,1
English,French,7,en-fr.test,7,A4HLAZISP26GH,5,17,37,67,1
English,French,8,en-fr.test,8,A4HLAZISP26GH,36,66,40,7,1
English,French,9,en-fr.test,9,A4HLAZISP26GH,34,64,19,41,1
English,French,25,en-fr.test,25,A2ALWSGDVHR88Y,19,41,7,19,2
English,French,26,en-fr.test,26,A2ALWSGDVHR88Y,7,19,38,68,2
English,French,27,en-fr.test,27,A2ALWSGDVHR88Y,34,64,35,65,1
English,French,1,en-fr.test,1,A2R20SOIBO289V,38,68,35,65,2
English,French,2,en-fr.test,2,A2R20SOIBO289V,8,20,19,41,1
English,French,3,en-fr.test,3,A2R20SOIBO289V,51,9,9,21,1
English,French,13,en-fr.test,13,A2R20SOIBO289V,50,8,40,7,11
English,French,14,en-fr.test,14,A2R20SOIBO289V,7,19,5,17,11
English,French,15,en-fr.test,15,A2R20SOIBO289V,37,67,39,69,2
English,French,19,en-fr.test,19,A2SLT3VADFP09C,50,8,37,67,1
English,French,20,en-fr.test,20,A2SLT3VADFP09C,13,26,51,9,1
English,French,21,en-fr.test,21,A2SLT3VADFP09C,41,70,39,69,2
English,French,7,en-fr.test,7,AYRVLXBN4AB58,41,70,35,65,2
English,French,8,en-fr.test,8,AYRVLXBN4AB58,7,19,37,67,2
English,French,9,en-fr.test,9,AYRVLXBN4AB58,7,19,5,17,2
English,French,10,en-fr.test,10,AQNOTFW1HV5JG,13,26,40,7,1
English,French,11,en-fr.test,11,AQNOTFW1HV5JG,38,68,34,64,1
English,French,12,en-fr.test,12,AQNOTFW1HV5JG,34,64,35,65,1
English,French,19,en-fr.test,19,A3VS73NCMIPDLI,13,26,37,67,11
English,French,20,en-fr.test,20,A3VS73NCMIPDLI,40,7,39,69,1
English,French,21,en-fr.test,21,A3VS73NCMIPDLI,13,26,9,21,2
English,French,19,en-fr.test,19,AYRVLXBN4AB58,13,26,40,7,2
English,French,20,en-fr.test,20,AYRVLXBN4AB58,36,66,35,65,2
English,French,21,en-fr.test,21,AYRVLXBN4AB58,13,26,19,41,1
English,French,25,en-fr.test,25,AK7YVYGMIF6T0,39,69,51,9,1
English,French,26,en-fr.test,26,AK7YVYGMIF6T0,38,68,40,7,11
English,French,27,en-fr.test,27,AK7YVYGMIF6T0,41,70,34,64,1
English,French,25,en-fr.test,25,A2JFO883AOTIUY,39,69,51,9,1
English,French,26,en-fr.test,26,A2JFO883AOTIUY,38,68,40,7,2
English,French,27,en-fr.test,27,A2JFO883AOTIUY,41,70,34,64,2
English,French,22,en-fr.test,22,AYRVLXBN4AB58,19,41,37,67,2
English,French,23,en-fr.test,23,AYRVLXBN4AB58,35,65,9,21,1
English,French,24,en-fr.test,24,AYRVLXBN4AB58,34,64,19,41,1
English,French,4,en-fr.test,4,A2R20SOIBO289V,51,9,9,21,1
English,French,5,en-fr.test,5,A2R20SOIBO289V,40,7,36,66,11
English,French,6,en-fr.test,6,A2R20SOIBO289V,19,41,38,68,2
English,French,10,en-fr.test,10,A4HLAZISP26GH,19,41,34,64,2
English,French,11,en-fr.test,11,A4HLAZISP26GH,39,69,5,17,1
English,French,12,en-fr.test,12,A4HLAZISP26GH,51,9,8,20,11
English,French,25,en-fr.test,25,AK7YVYGMIF6T0,38,68,7,19,11
English,French,26,en-fr.test,26,AK7YVYGMIF6T0,5,17,19,41,1
English,French,27,en-fr.test,27,AK7YVYGMIF6T0,37,67,19,41,1
English,French,7,en-fr.test,7,A2SLT3VADFP09C,13,26,39,69,11
English,French,8,en-fr.test,8,A2SLT3VADFP09C,7,19,13,26,1
English,French,9,en-fr.test,9,A2SLT3VADFP09C,13,26,36,66,2
English,French,4,en-fr.test,4,A2ALWSGDVHR88Y,51,9,7,19,1
English,French,5,en-fr.test,5,A2ALWSGDVHR88Y,38,68,5,17,1
English,French,6,en-fr.test,6,A2ALWSGDVHR88Y,37,67,51,9,11
English,French,13,en-fr.test,13,AQNOTFW1HV5JG,19,41,40,7,2
English,French,14,en-fr.test,14,AQNOTFW1HV5JG,50,8,35,65,2
English,French,15,en-fr.test,15,AQNOTFW1HV5JG,13,26,41,70,2
English,French,7,en-fr.test,7,ALZ4NXJQJRDJZ,34,64,40,7,2
English,French,8,en-fr.test,8,ALZ4NXJQJRDJZ,5,17,41,70,2
English,French,9,en-fr.test,9,ALZ4NXJQJRDJZ,13,26,50,8,1
English,French,13,en-fr.test,13,A1FDOA5F56OGE8,41,70,37,67,1
English,French,14,en-fr.test,14,A1FDOA5F56OGE8,19,41,33,62,2
English,French,15,en-fr.test,15,A1FDOA5F56OGE8,34,64,38,68,2
English,French,22,en-fr.test,22,AGOA2P50SFR1E,38,68,8,20,2
English,French,23,en-fr.test,23,AGOA2P50SFR1E,51,9,34,64,1
English,French,24,en-fr.test,24,AGOA2P50SFR1E,33,62,51,9,1
English,French,25,en-fr.test,25,AQNOTFW1HV5JG,36,66,38,68,1
English,French,26,en-fr.test,26,AQNOTFW1HV5JG,35,65,51,9,1
English,French,27,en-fr.test,27,AQNOTFW1HV5JG,50,8,8,20,2
English,French,19,en-fr.test,19,AK7YVYGMIF6T0,35,65,9,21,2
English,French,20,en-fr.test,20,AK7YVYGMIF6T0,51,9,19,41,1
English,French,21,en-fr.test,21,AK7YVYGMIF6T0,50,8,19,41,1
English,French,4,en-fr.test,4,AQNOTFW1HV5JG,37,67,9,21,2
English,French,5,en-fr.test,5,AQNOTFW1HV5JG,9,21,35,65,1
English,French,6,en-fr.test,6,AQNOTFW1HV5JG,35,65,8,20,2
English,French,13,en-fr.test,13,AW17FU3U5XYAM,50,8,5,17,1
English,French,14,en-fr.test,14,AW17FU3U5XYAM,36,66,34,64,2
English,French,15,en-fr.test,15,AW17FU3U5XYAM,5,17,33,62,1
English,French,13,en-fr.test,13,A2SLT3VADFP09C,50,8,5,17,1
