is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-04-23 18:46:56.082054-07	1	t	23	20
f	2012-04-23 18:52:02.077556-07	1	t	35	24
f	2012-04-23 18:54:28.372441-07	1	t	25	19
f	2012-04-23 18:58:18.210998-07	1	t	18	18
f	2012-04-23 19:00:22.023587-07	1	t	21	19
f	2012-04-23 19:04:18.639382-07	1	t	22	21
f	2012-04-23 19:11:40.146542-07	1	t	25	40
f	2012-04-23 19:17:35.972512-07	1	t	26	23
f	2012-04-23 19:22:53.848096-07	1	t	18	17
f	2012-04-23 19:25:15.736585-07	1	t	14	15
f	2012-04-23 19:29:13.744325-07	1	t	16	15
f	2012-04-23 19:34:14.210198-07	1	t	23	25
f	2012-04-23 19:38:47.449379-07	1	t	23	21
f	2012-04-23 19:41:08.998562-07	1	t	20	20
f	2012-04-23 18:20:58.331401-07	2	t	41	30
f	2012-04-23 18:22:52.371796-07	2	t	19	18
f	2012-04-23 18:24:55.041998-07	2	t	23	13
f	2012-04-23 18:29:50.989848-07	2	t	43	38
f	2012-04-23 18:34:25.637313-07	2	t	28	25
f	2012-04-23 17:56:06.686104-07	2	t	27	35
f	2012-04-23 17:56:56.180088-07	2	t	12	10
f	2012-04-23 17:58:24.978332-07	2	t	24	18
f	2012-04-23 18:00:22.959516-07	2	t	14	20
f	2012-04-23 18:01:23.306908-07	2	t	14	12
f	2012-04-23 18:03:53.420027-07	2	t	23	24
f	2012-04-23 18:06:36.939181-07	2	t	14	10
f	2012-04-23 18:09:17.766212-07	2	t	15	15
