is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-14 11:54:51.432801-07	2	t	23	25
f	2012-03-14 11:56:19.078585-07	2	t	35	40
f	2012-03-14 11:57:04.956021-07	2	t	25	27
f	2012-03-14 11:57:55.691534-07	2	t	18	16
f	2012-03-14 11:58:36.276646-07	2	t	21	23
f	2012-03-14 11:58:58.557655-07	2	t	22	25
f	2012-03-14 11:46:14.919708-07	2	t	25	31
f	2012-03-14 11:47:55.224297-07	2	t	26	32
f	2012-03-14 11:49:01.315876-07	2	t	18	21
f	2012-03-14 11:50:33.463043-07	2	t	14	16
f	2012-03-14 11:51:08.491067-07	2	t	16	22
f	2012-03-14 11:53:05.390864-07	2	t	23	30
f	2012-03-14 11:53:55.183489-07	2	t	23	31
f	2012-03-14 11:54:16.710474-07	2	t	20	21
f	2012-03-14 11:04:48.461127-07	1	t	41	50
f	2012-03-14 11:06:11.83951-07	1	t	19	22
f	2012-03-14 11:08:25.606843-07	1	t	23	23
f	2012-03-14 11:13:07.71684-07	1	t	43	42
f	2012-03-14 11:14:46.407468-07	1	t	28	25
f	2012-03-14 11:17:26.189971-07	1	t	27	34
f	2012-03-14 11:18:27.798495-07	1	t	12	10
f	2012-03-14 11:20:00.472031-07	1	t	24	23
f	2012-03-14 11:21:57.529202-07	1	t	14	16
f	2012-03-14 11:23:00.686323-07	1	t	14	16
f	2012-03-14 11:24:34.323001-07	1	t	23	25
f	2012-03-14 11:26:35.44281-07	1	t	14	15
f	2012-03-14 11:27:53.452762-07	1	t	15	19
