is_machine	date	ui_id	is_valid	src_len	tgt_len
f	2012-03-13 04:17:35.389723-07	2	t	23	22
f	2012-03-13 04:20:22.224814-07	2	t	35	33
f	2012-03-13 04:22:06.796762-07	2	t	25	25
f	2012-03-13 04:23:22.354364-07	2	t	18	14
f	2012-03-13 04:23:44.625954-07	2	t	21	21
f	2012-03-13 04:24:27.003446-07	2	t	22	21
f	2012-03-13 04:05:08.813467-07	2	t	25	29
f	2012-03-13 04:08:09.050379-07	2	t	26	22
f	2012-03-13 04:09:39.709112-07	2	t	18	19
f	2012-03-13 04:10:13.660175-07	2	t	14	14
f	2012-03-13 04:11:45.595346-07	2	t	16	22
f	2012-03-13 04:13:58.938155-07	2	t	23	26
f	2012-03-13 04:16:01.59214-07	2	t	23	26
f	2012-03-13 04:16:43.184097-07	2	t	20	22
f	2012-03-13 03:32:12.740176-07	1	t	41	41
f	2012-03-13 03:33:51.834297-07	1	t	19	20
f	2012-03-13 03:35:43.168596-07	1	t	23	20
f	2012-03-13 03:40:43.435541-07	1	t	43	43
f	2012-03-13 03:42:35.955808-07	1	t	28	28
f	2012-03-13 03:46:34.063586-07	1	t	27	25
f	2012-03-13 03:48:11.757026-07	1	t	12	8
f	2012-03-13 03:50:05.457118-07	1	t	24	22
f	2012-03-13 03:51:12.002659-07	1	t	14	14
f	2012-03-13 03:52:22.877906-07	1	t	14	12
f	2012-03-13 03:55:11.935527-07	1	t	23	20
f	2012-03-13 03:56:27.121966-07	1	t	14	12
f	2012-03-13 03:57:01.748213-07	1	t	15	15
